class,support_n,correct_n,accuracy
spaghetti_bolognese,0,0,0.0
ice_cream,4,1,0.25
bruschetta,3,1,0.3333333333333333
steak,8,4,0.5
beef_carpaccio,4,2,0.5
donuts,4,2,0.5
hot_dog,2,1,0.5
macaroni_and_cheese,2,1,0.5
paella,2,1,0.5
tuna_tartare,2,1,0.5
waffles,10,6,0.6
escargots,5,3,0.6
hummus,5,3,0.6
strawberry_shortcake,5,3,0.6
apple_pie,3,2,0.6666666666666666
ceviche,3,2,0.6666666666666666
greek_salad,3,2,0.6666666666666666
pulled_pork_sandwich,3,2,0.6666666666666666
spring_rolls,3,2,0.6666666666666666
tacos,3,2,0.6666666666666666
grilled_salmon,7,5,0.7142857142857143
beet_salad,8,6,0.75
dumplings,4,3,0.75
fried_calamari,4,3,0.75
guacamole,4,3,0.75
huevos_rancheros,4,3,0.75
risotto,4,3,0.75
tiramisu,4,3,0.75
foie_gras,9,7,0.7777777777777778
beignets,10,8,0.8
chicken_curry,10,8,0.8
beef_tartare,5,4,0.8
churros,5,4,0.8
ravioli,5,4,0.8
scallops,5,4,0.8
takoyaki,5,4,0.8
cheese_plate,6,5,0.8333333333333334
clam_chowder,6,5,0.8333333333333334
crab_cakes,6,5,0.8333333333333334
croque_madame,6,5,0.8333333333333334
pork_chop,6,5,0.8333333333333334
seaweed_salad,6,5,0.8333333333333334
cheesecake,7,6,0.8571428571428571
french_toast,7,6,0.8571428571428571
garlic_bread,7,6,0.8571428571428571
frozen_yogurt,8,7,0.875
lasagna,8,7,0.875
caprese_salad,9,8,0.8888888888888888
falafel,10,9,0.9
cannoli,11,10,0.9090909090909091
gyoza,11,10,0.9090909090909091
cup_cakes,8,8,1.0
chicken_quesadilla,7,7,1.0
chicken_wings,7,7,1.0
eggs_benedict,7,7,1.0
french_onion_soup,7,7,1.0
lobster_bisque,7,7,1.0
miso_soup,7,7,1.0
mussels,7,7,1.0
onion_rings,7,7,1.0
chocolate_mousse,6,6,1.0
deviled_eggs,6,6,1.0
french_fries,6,6,1.0
macarons,6,6,1.0
peking_duck,6,6,1.0
ramen,6,6,1.0
shrimp_and_grits,6,6,1.0
baklava,5,5,1.0
carrot_cake,5,5,1.0
fish_and_chips,5,5,1.0
hamburger,5,5,1.0
pad_thai,5,5,1.0
pizza,5,5,1.0
prime_rib,5,5,1.0
red_velvet_cake,5,5,1.0
sashimi,5,5,1.0
filet_mignon,4,4,1.0
fried_rice,4,4,1.0
hot_and_sour_soup,4,4,1.0
lobster_roll_sandwich,4,4,1.0
omelette,4,4,1.0
pho,4,4,1.0
breakfast_burrito,3,3,1.0
chocolate_cake,3,3,1.0
creme_brulee,3,3,1.0
gnocchi,3,3,1.0
grilled_cheese_sandwich,3,3,1.0
nachos,3,3,1.0
panna_cotta,3,3,1.0
poutine,3,3,1.0
samosa,3,3,1.0
spaghetti_carbonara,3,3,1.0
bibimbap,2,2,1.0
caesar_salad,2,2,1.0
edamame,2,2,1.0
oysters,2,2,1.0
pancakes,2,2,1.0
baby_back_ribs,1,1,1.0
bread_pudding,1,1,1.0
club_sandwich,1,1,1.0
sushi,1,1,1.0
